strain_name,breeder,description,current_price_gbp,original_price_gbp,discount_percent,pack_options,product_url,overview,growth_and_harvest,experience,seed_type,flowering_period_type,indica_sativa,type_ratio,strain_type_summary,environment,strength,medical_strains,smell_taste,effect,climate,flavor,thc,cbd,yield_indoor,yield_outdoor,height_indoor,height_outdoor,indoor_height_detail,indoor_flowering_time,outdoor_harvest_time,flowering_time,harvest_month,genetic_background,stock_availability,sale_item,most_popular_seeds
Golden Child,Norstar Genetics,"Improved cross with high yields, ideal for outdoor growing. Sweet, earthy, pineapple taste brings back Old School flavors.",11.06,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,50% Indica/50% Sativa,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,"Earthy, Pineapple, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),"The End of September, Beginning of October",8 weeks,September-October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Goo-Che,Norstar Genetics,"Sativa-dominant strain with resinous buds, strong effect, and versatile growth. Cross of NCG and Chelumbian, yielding earthy, sweet, woody flavors in 8 weeks.",11.06,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,Sativa Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,"Earthy, Sweet, Woodsy",Strong,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),"The End of September, Beginning of October",8 weeks,September-October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Grand Poohbah,Norstar Genetics,"Potent Indica strain with Bubba aromas and Purple Mayhem flavors. 8 week flowering time, 350-450 g/m2 yield.",11.06,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,Dairy,Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Short (up to 55 days),"The End of September, Beginning of October",8 weeks,September-October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Jungle Scout,Norstar Genetics,High yielding sativa strain with sweet flavor and strong effects. Moderation needed for body punch. Thrives indoors and outdoors.,11.06,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,Sativa Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,Sweet,Strong,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),"The End of September, Beginning of October",9 weeks,September-October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Lands End,Norstar Genetics,"Potent OG and Chem cross with heavy flavors and added sweetness. Suitable for indoor or outdoor growing, 10-week flowering time, mid-October harvest.",12.07,28.08,40.0,1 Single Regular Seed (GBP 12.07) | 10 Regular Seeds (GBP 100.54) | 50 Regular Seeds (GBP 477.57) | 100 Regular Seeds (GBP 904.86),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,Sativa Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,"Sour, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,10 weeks,Mid October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Midnight Fire,Norstar Genetics,"OG cross with colorful phenotypes, fast flowering, potent effects, and pungent flavor. Breeder: Norstar Genetics.",12.07,28.08,40.0,1 Single Regular Seed (GBP 12.07) | 10 Regular Seeds (GBP 100.54) | 50 Regular Seeds (GBP 477.57),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,50% Indica/50% Sativa,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,Sweet,Powerful,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,9 weeks,Mid October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
MoonShadow,Norstar Genetics,Potent sativa strain with tropical flavors and stimulating effects. Beautiful colors and unique terpene profile make it a must-try.,11.06,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"NorStar Genetics' version of Purple Haze features a sativa-dominant buzz and tropical flavors that are both exhilarating and endlessly enjoyable. With remarkable colors and a unique terpene profile reminiscent of a tropical cocktail, this cannabis strain continuously offers a satisfying and stimulating experience.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,Sativa Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,Fruity,Stimulating,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,9 weeks,Mid October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Pretty Wicked,Norstar Genetics,"Stinky beauty with Chem D genetics, yielding purple buds. Indica/Sativa hybrid with nice yield and beautiful colors. Grows in 9 weeks.",11.06,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,50% Indica/50% Sativa,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,Sweet,Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,9 weeks,Mid October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Queen of Hearts,Norstar Genetics,"Potent strain with cherry and pine flavors, strong effects for mind and body. Ideal for pain relief and stimulating thoughts. Great for family game night.",12.07,28.08,40.0,1 Single Regular Seed (GBP 12.07) | 10 Regular Seeds (GBP 100.54) | 50 Regular Seeds (GBP 477.57) | 100 Regular Seeds (GBP 904.86),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,50% Indica/50% Sativa,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,"Body Stone, Cerebral","Cherry, Piney","Body, Head, Powerful",Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),"The End of September, Beginning of October",8-9 weeks,September-October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Sour Chelumbian,Norstar Genetics,"Powerful strain with positive, creative effects. Sweet 'n sour taste with a spicy dank undertone. Easy to grow indoors or outdoors, high yield.",11.06,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,Sativa Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,"Creative, Uplifting","Herbal, Sour, Spicy, Sweet","Creative, Energetic, Uplifting",Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,9 weeks,Mid October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Sugar Kiss,Norstar Genetics,"Vigorous grower, easy to clone. Potent effects for stress and pain relief. Mold and bug resistant, sweet citrus taste.",11.06,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,Sativa Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,"Body Stone, Cerebral","Citrus, Spicy, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
The Maestro,Norstar Genetics,"Dense, resinous male enhances yield and colors. Flavors include spicy incense, coffee, orange, pine, and wine. Mostly Indica, 9 week flowering time.",8.74,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,"Chocolate, Orange, Piney, Spicy, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,9 weeks,Mid October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Vintners Moonshine,Norstar Genetics,"Sweet tart grape with hints of whiskey, 2nd place indica winner, improved structure and flavor complexity, 8 week flowering time, 350-400 g/m2 yield.",12.07,28.08,40.0,1 Single Regular Seed (GBP 12.07) | 100 Regular Seeds (GBP 786.60),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,"Grape, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),"The End of September, Beginning of October",8 weeks,September-October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Zapotec,Norstar Genetics,"Sativa-dominant strain with Central American genetics. Uplifting effects, fruity, spicy, tropical flavors. High yield, 9-week flowering time.",11.06,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,Sativa Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,"Euphoric, Happy, Uplifting","Fruity, Herbal, Spicy, Sweet","Energetic, Euphoric, Happy, Stimulating, Uplifting",Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),"The End of September, Beginning of October",9 weeks,September-October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Star Ox,Rare Dankness Seeds,Award-winning lineage of lemon candy and kush flavored frosty flowers. Indica-dominant with short 55-60 day flowering time.,6.24,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,Indoor,Normal,Relaxing,"Citrus, Lemon, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,55-60 Days,October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Apollo XX,Brothers Grimm Seeds,"Fast-flowering, high resin production, uniform plants with sweet citrus flavor and upbeat high.",8.94,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Sativa Dominant,70% Indica / 30% Sativa,Indica Dominant,Indoor,Normal,"Happy, Uplifting","Citrus, Fruity, Grapefruit, Lime, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Short (up to 80cm),Medium (56 to 90 days),Middle of October,"The breeder recommends 55-63 days of 12/12 flowering, after the seedlings are 6-8 weeks old.",October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Cinderella XX,Brothers Grimm Seeds,"High THC, uniformity, resin production, tropical fruit flavors. Yields 4-5 ounces per plant in 56-65 days.",18.74,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"Over the past twenty years, Cinderella 99 gained the nickname “Holy Grail” of indoor marijuana due to its high-THC phenotype, with little variation among seedlings in scent, flowering time, potency, yield, and growth structure. The strain produces buds that satisfy the most discerning weed enthusiasts in terms of appearance, flavor, and the quality of the high. Known for its rapid flowering and resinous buds, Cinderella 99 delivers a clear, psychoactive high ideal for creativity.
After traditionally shunning feminized seeds to avoid hermaphroditism, Brothers Grimm released a feminized variety, Cinderella XX, in 2016. This version preserves the elite traits of Cinderella 99 through selective breeding, ensuring resin-rich flowers with a blend of sweet and cheesy terpenes. Cinderella XX represents the pinnacle of Cinderella 99 in feminized form, combining all the desirable characteristics of the original.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Sativa Dominant,70% Indica / 30% Sativa,Indica Dominant,Indoor,Normal,"Cerebral, Creative","Fruity, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Short (up to 80cm),Medium (56 to 90 days),Middle of October,Cinderella XX likes 56-65 days of 12/12. Seedlings should be 6-8 weeks old before flowering. Pistils should all be withered and the resin heads have all gone cloudy/milky at harvest time.,October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Blue Sky 99%,Breaking Buds Seeds,"Indica-dominant strain with sativa effects. Descendant of Woodstock culture. Highly psychedelic, potent with blueberry and musk aromas.",6.27,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This indica plant provides a sativa effect, stemming from 70s Woodstock era genetics. It's a cross between Matanuska Tundra and Blue Rhino, achieving 99% genetic consistency through self-pollination. Despite its indica structure, it provokes a highly psychedelic, sativa-like experience. Not recommended for inexperienced users due to potential tachycardia or nervousness. Offers intense effects with minimal consumption, with flavors blending blueberries and musk.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,Indoor,Super Strength,Psychedelic,"Berry, Musky",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Short (up to 80cm),Short (up to 55 days),Middle of September,8-9 Weeks,October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Chocolate Cookies,Breaking Buds Seeds,"Stable, easy to grow with fast flowering. Great for beginners and experts. Tasty, narcotic high perfect for socializing.",5.34,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"Chocolate Cookies is a stable, beginner-friendly strain that emerges from the cross of Chocolope and a Californian OG Kush descendant. It supports overfertilization and requires minimal effort in nutrient management. Exhibiting medium height and ultra-fast flowering, the plant produces round, stiff buds. It is characterized by its unique Danish cookie aroma and hash-like taste. This strain tends towards a short-lived narcotic effect, making it suitable for socializing or late-night gaming, though it may induce sleepiness in higher doses. In colder conditions, the plant's leaves and flowers may turn purple, enhancing the appearance of its resin drops.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,"Narcotic, Social","Hashy, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Short (up to 55 days),Beginning of September,8-9 Weeks,October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Cream Crystal Meth,Breaking Buds Seeds,"Tribute to Howard Marks with stable indica variety. Intense tangerine scent, high yield. Flowering time: 55 days indoors, early September outdoors.",5.34,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,"Citrus, Orange",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Short (up to 55 days),Beginning of September,8-9 Weeks,October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Malverde,Breaking Buds Seeds,"Survivor strain from US Govt crop killing, sweet & spicy taste. Medium plant, high yields, optimal when topped & pinched.",6.27,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Sativa Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,"Spicy, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),The End of October,8-9 Weeks,October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Strawberry Cream,Breaking Buds Seeds,"High-performance UK strain with massive growth. Resistant to pests, mellow effect ideal for artists. Short flowering cycle.",6.84,28.08,40.0,1 Single Feminised Seed (GBP 6.84),https://www.seed-city.com/images/discontinued-icon.jpg,"The Strawberry Creme strain, highly acclaimed in the UK, originates from Switzerland, thriving in its high-altitude, challenging climate. It is remarkably resilient against pests due to its thick cell walls in leaves and stems—a trait attributed to its altitude adaptation. This strain is characterized by its round shape and a slightly sativa-dominant nature, a result of being crossed with Ice Cream. Notoriously prolific in production, Strawberry Creme is a true powerhouse.
Strain effects are non-psychotropic, favoring long-term clarity ideal for creative minds such as artists, musicians, and writers, enhancing their work without overwhelming. It boasts a potent strawberry milkshake aroma and is known for its significant resin production, which can easily transfer to clothing. Despite its sativa dominance, it enjoys a surprisingly short flowering period.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Sativa Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Creative,"Strawberry, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Beginning of October,8-9 Weeks,October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Big Whoop Auto,Breaking Buds Seeds,"High-yielding strain with vigorous growth, reaching up to 1.8m. Sweet, citrus, and hashy flavors. Slow, narcotic effects. Good for migraines and hypertension.",5.82,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"Auto version of our Cheeisenberg crossed with Black Domina Auto offers exuberant hybrid vigour, featuring large trunks and leaves in an XXL size. Optimally grown in greenhouses, it can reach heights of 1.50-1.80m with buds weighing 80 to 130g per plant. Designed for extended cultivations with a unifloral structure, it has sweet, citrus, and hashy scents and tastes, producing slow, narcotic effects. It's not recommended to mix with alcohol and is ideal for those seeking meditative or artistic inspiration. Additionally, it's effective against migraines, hypertension, and for regulating the nervous system.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,Indoor,Normal,"Creative, Narcotic","Citrus, Hashy, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Tall (140cm plus),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Soylent Green Auto,Breaking Buds Seeds,"Stable plant with resinous flowers, eucalyptus scent, fast effects. Calms anxiety and stress.",4.35,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"A clone of the renowned G13 Chem Dawg morphed into an auto flowering variant after a challenging five-year development and fifteen generations. The result is the Soylent Green Auto, known for its stretched physique, branching tendencies, long stems resistant to mould, and resin-dripping ball-shaped flowers. Its aroma combines eucalyptus or mint with pine hints, offering a calming effect perfect for alleviating anxiety and stress. Users should exercise caution due to its potent and immediate impacts.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,"Anxiety, Stress Relief","Minty, Piney",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
